CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,TIPO,LATITUD,LONGITUD
20,CESAR,PELAYA,20550,Municipio,8.764116734,-73.63295546
20,CESAR,PUEBLO BELLO,20570,Municipio,10.41736874,-73.61450632
20,CESAR,RÍO DE ORO,20614,Municipio,8.201070245,-73.48750127
20,CESAR,LA PAZ,20621,Municipio,10.24440562,-73.07824569
20,CESAR,SAN ALBERTO,20710,Municipio,7.769815987,-73.47218888
20,CESAR,SAN DIEGO,20750,Municipio,10.16952712,-73.2879827
20,CESAR,SAN MARTÍN,20770,Municipio,7.937788454,-73.54436312
20,CESAR,TAMALAMEQUE,20787,Municipio,8.902075012,-73.7633962
23,CÓRDOBA,MONTERÍA,23001,Municipio,8.584698016,-75.95055079
23,CÓRDOBA,AYAPEL,23068,Municipio,8.265768688,-75.04868436
23,CÓRDOBA,BUENAVISTA,23079,Municipio,8.191397953,-75.43382532
23,CÓRDOBA,CANALETE,23090,Municipio,8.7240958,-76.23779081
23,CÓRDOBA,CERETÉ,23162,Municipio,8.895667051,-75.87842391
23,CÓRDOBA,CHIMÁ,23168,Municipio,9.11024941,-75.65237351
23,CÓRDOBA,CHINÚ,23182,Municipio,9.053287104,-75.37387363
23,CÓRDOBA,CIÉNAGA DE ORO,23189,Municipio,8.841811894,-75.60779829
23,CÓRDOBA,COTORRA,23300,Municipio,9.071460219,-75.75459276
23,CÓRDOBA,LA APARTADA,23350,Municipio,8.052218422,-75.28816022
23,CÓRDOBA,LORICA,23417,Municipio,9.165034998,-75.90978124
23,CÓRDOBA,LOS CÓRDOBAS,23419,Municipio,8.823307063,-76.3430552
23,CÓRDOBA,MOMIL,23464,Municipio,9.265461621,-75.65090876
23,CÓRDOBA,MONTELÍBANO,23466,Municipio,7.866432635,-75.87533926
23,CÓRDOBA,MOÑITOS,23500,Municipio,9.190515343,-76.11931709
23,CÓRDOBA,PLANETA RICA,23555,Municipio,8.181108488,-75.68923803
23,CÓRDOBA,PUEBLO NUEVO,23570,Municipio,8.481339568,-75.40516154
23,CÓRDOBA,PUERTO ESCONDIDO,23574,Municipio,8.988667731,-76.19405912
23,CÓRDOBA,PUERTO LIBERTADOR,23580,Municipio,7.711515736,-75.77123224
23,CÓRDOBA,PURÍSIMA DE LA CONCEPCIÓN,23586,Municipio,9.282386127,-75.72129392
23,CÓRDOBA,SAHAGÚN,23660,Municipio,8.799007016,-75.42925664
23,CÓRDOBA,SAN ANDRÉS DE SOTAVENTO,23670,Municipio,9.121296353,-75.52091711
23,CÓRDOBA,SAN ANTERO,23672,Municipio,9.359667489,-75.78700252
23,CÓRDOBA,SAN BERNARDO DEL VIENTO,23675,Municipio,9.330098329,-75.97623858
23,CÓRDOBA,SAN CARLOS,23678,Municipio,8.706464263,-75.69251825
23,CÓRDOBA,SAN JOSÉ DE URÉ,23682,Municipio,7.753054395,-75.5672474
